short_name,greeting,position,date,b1_dummy,b2_dummy,b3_dummy,b4_dummy
ettin,Mr,deputy director,20011211,,,,
madigan,Mr,deputy director,20011211,,,,
simpson,Mr,senior adviser,20011211,,,,
connors,Mr,associate director,20011211,,,,
oliner,Mr,associate director,20011211,,,,
struckmeyer,Mr,associate director,20011211,,,,
whitesell,Mr,assistant director,20011211,,,,
skidmore,Mr,special assistant to the board,20011211,,,,
low,Ms,open market secretariat assistant,20011211,,,,
rasdall,Mr,first vice president,20011211,,,,
eisenbeis,Mr,senior vice president,20011211,,,,
goodfriend,Mr,senior vice president,20011211,,,,
krieger,Ms,senior vice president,20011211,,,,
mester,Ms,senior vice president,20011211,,,,
rosenblum,Mr,senior vice president,20011211,,,,
bryan,Mr,vice president,20011211,,,,
judd,Mr,vice president,20011211,,,,
krane,Mr,vice president,20011211,,,,
weber,Mr,senior research officer,20011211,,,,
greenspan,Mr,chairman,20000822,,,,
mcdonough,Mr,vice chairman,20000822,,,,
broaddus,Mr,chairman,20000822,,,,
ferguson,Mr,vice chairman,20000822,,,,
gramlich,Mr,president,20000822,,,,
guynn,Mr,president,20000822,,,,
jordan,Mr,governor,20000822,,,,
kelley,Mr,president,20000822,,,,
meyer,Mr,president,20000822,,,,
parry,Mr,governor,20000822,,,,
hoenig,Mr,governor,20000822,,,,
minehan,Ms,president,20000822,,,,
moskow,Mr,president,20000822,,,,
poole,Mr,president,20000822,,,,
mcteer,Mr,president,20000822,,,,
santomero,Mr,president,20000822,,,,
stern,Mr,president,20000822,,,,
kohn,Mr,secretary and economist,20000822,,,,
bernard,Mr,deputy secretary,20000822,,,,
fox,Ms,assistant secretary,20000822,,,,
mattingly,Mr,general counsel,20000822,,,,
johnson,Mr,economist,20000822,,,,
stockton,Mr,economist,20000822,,,,
beebe,Mr,associate economist,20000822,,,,
cumming,Ms,associate economist,20000822,,,,
goodfriend,Mr,associate economist,20000822,,,,
howard,Mr,associate economist,20000822,,,,
lindsey,Mr,associate economist,20000822,,,,
reinhart,Mr,associate economist,20000822,,,,
simpson,Mr,associate economist,20000822,,,,
sniderman,Mr,associate economist,20000822,,,,
fisher,Mr,system open market account manager,20000822,,,,
madigan,Mr,associate director,20000822,,,,
slifman,Mr,associate director,20000822,,,,
whitesell,Mr,assistant director,20000822,,,,
reifschneider,Mr,section chief,20000822,,,,
low,Ms,open market secretariat assistant,20000822,,,,
kumasaka,Mr,assistant economist,20000822,,,,
connolly,Mr,first vice president,20000822,,,,
browne,Ms,senior vice president,20000822,,,,
hakkio,Mr,senior vice president,20000822,,,,
krieger,Ms,senior vice president,20000822,,,,
lang,Mr,senior vice president,20000822,,,,
rasche,Mr,senior vice president,20000822,,,,
rolnick,Mr,senior vice president,20000822,,,,
rosenblum,Mr,senior vice president,20000822,,,,
sullivan,Mr,vice president,20000822,,,,
tallman,Mr,senior economist,20000822,,,,
yellen,Ms,chair,20150617,,,,
dudley,Mr,vice chairman,20150617,,,,
brainard,Ms,governor,20150617,,,,
evans,Mr,president,20150617,,,,
fischer,Mr,governor,20150617,,,,
lacker,Mr,president,20150617,,,,
lockhart,Mr,president,20150617,,,,
powell,Mr,governor,20150617,,,,
tarullo,Mr,governor,20150617,,,,
williams,Mr,president,20150617,,,,
bullard,Mr,president,20150617,,,,
george,Ms,president,20150617,,,,
mester,Ms,president,20150617,,,,
rosengren,Mr,president,20150617,,,,
kocherlakota,Mr,president,20150617,,,,
holcomb,Ms,first vice president,20150617,,,,
prichard,Mr,first vice president,20150617,,,,
madigan,Mr,secretary,20150617,,,,
luecke,Mr,deputy secretary,20150617,,,,
skidmore,Mr,assistant secretary,20150617,,,,
smith,Ms,assistant secretary,20150617,,,,
alvarez,Mr,general counsel,20150617,,,,
baxter,Mr,deputy general counsel,20150617,,,,
kamin,Mr,economist,20150617,,,,
laubach,Mr,economist,20150617,,,,
wilcox,Mr,economist,20150617,,,,
altig,Mr,associate economist,20150617,,,,
engen,Mr,associate economist,20150617,,,,
leahy,Mr,associate economist,20150617,,,,
mccarthy,Mr,associate economist,20150617,,,,
nelson,Mr,associate economist,20150617,,,,
rudebusch,Mr,associate economist,20150617,,,,
wascher,Mr,associate economist,20150617,,,,
potter,Mr,system open market account manager,20150617,,,,
logan,Ms,deputy manager,20150617,,,,
frierson,Mr,secretary of the board,20150617,,,,
gibson,Mr,director,20150617,,,,
clouse,Mr,deputy director,20150617,,,,
meyer,Mr,deputy director,20150617,,,,
covitz,Mr,deputy director,20150617,,,,
lehnert,Mr,deputy director,20150617,,,,
english,Mr,senior special adviser to the board,20150617,,,,
bowman,Mr,special adviser to the board,20150617,,,,
figura,Mr,special adviser to the board,20150617,,,,
reifschneider,Mr,special adviser to the board,20150617,,,,
tevlin,Ms,special adviser to the board,20150617,,,,
reeve,Mr,special adviser to the chair,20150617,,,,
robertson,Ms,assistant to the board,20150617,,,,
erceg,mr,senior associate director,20150617,,,,
wilson,Ms,senior associate director,20150617,,,,
lebow,Mr,senior associate director,20150617,,,,
palumbo,Mr,senior associate director,20150617,,,,
meade,Ms,senior adviser,20150617,,,,
zickler,Ms,senior adviser,20150617,,,,
weinbach,Ms,associate director,20150617,,,,
follette,Mr,assistant director,20150617,,,,
smith,Mr,assistant director,20150617,,,,
ihrig,Ms,deputy associate director,20150617,,,,
tetlow,Mr,adviser,20150617,,,,
beattie,Ms,assistant to the secretary,20150617,,,,
ross,Ms,manager,20150617,,,,
small,Mr,project manager,20150617,,,,
lin,Mr,senior economist,20150617,,,,
lindner,Mr,senior economist,20150617,,,,
johannsen,Mr,economist,20150617,,,,
priebsch,Mr,economist,20150617,,,,
vazquez-grande,Mr,economist,20150617,,,,
williams,Mr,information management analyst,20150617,,,,
gould,Mr,first vice president,20150617,,,,
strine,Mr,executive vice president,20150617,,,,
athreya,Mr,senior vice president,20150617,,,,
koenig,Mr,senior vice president,20150617,,,,
mclaughlin,Ms,senior vice president,20150617,,,,
schulhofer-wohl,Mr,senior vice president,20150617,,,,
tallman,Mr,senior vice president,20150617,,,,
tootell,Mr,senior vice president,20150617,,,,
waller,Mr,senior vice president,20150617,,,,
armenter,Mr,vice president,20150617,,,,
leonard,Ms,vice president,20150617,,,,
paulson,Ms,vice president,20150617,,,,
tillett,Mr,vice president,20150617,,,,
willis,Mr,vice president,20150617,,,,
yellen,Ms,chair,20180131,,,,
dudley,Mr,vice chairman,20180131,,,,
barkin,Mr,president,20180131,,,,
bostic,Mr,president,20180131,,,,
brainard,Ms,governor,20180131,,,,
mester,Ms,president,20180131,,,,
powell,Mr,governor,20180131,,,,
quarles,Mr,governor,20180131,,,,
williams,Mr,president,20180131,,,,
bullard,Mr,president,20180131,,,,
evans,Mr,president,20180131,,,,
george,Ms,president,20180131,,,,
strine,Mr,first vice president,20180131,,,,
rosengren,Mr,president,20180131,,,,
harker,Mr,president,20180131,,,,
kaplan,Mr,president,20180131,,,,
kashkari,Mr,president,20180131,,,,
clouse,Mr,secretary,20180131,,,,
luecke,Mr,deputy secretary,20180131,,,,
skidmore,Mr,assistant secretary,20180131,,,,
smith,Ms,assistant secretary,20180131,,,,
van der weide,Mr,general counsel,20180131,,,,
held,Mr,deputy general counsel,20180131,,,,
kamin,Mr ,economist,20180131,,,,
laubach,Mr,economist,20180131,,,,
wilcox,Mr,economist,20180131,,,,
altig,Mr,associate economist,20180131,,,,
athreya,Mr,associate economist,20180131,,,,
connors,Mr,associate economist,20180131,,,,
daly,Ms,associate economist,20180131,,,,
lebow,Mr,associate economist,20180131,,,,
reeve,Mr,associate economist,20180131,,,,
sbordone,Ms,associate economist,20180131,,,,
tallman,Mr,associate economist,20180131,,,,
wascher,Mr,associate economist,20180131,,,,
wilson,Ms,associate economist,20180131,,,,
potter,Mr,system open market account manager,20180131,,,,
logan,Ms,deputy manager,20180131,,,,
misback,Ms,secretary,20180131,,,,
eichner,Mr,director,20180131,,,,
lehnert,Mr,director,20180131,,,,
edge,Ms,deputy director,20180131,,,,
hunter,Ms,deputy director,20180131,,,,
reifschneider,Mr,special advisers to the board,20180131,,,,
roberts,Mr,special advisers to the board,20180131,,,,
robertson,Ms,assistant to the board,20180131,,,,
gruber,Mr,senior associate director,20180131,,,,
palumbo,Mr,senior associate director,20180131,,,,
